#
#  synelcyc 23.0 Reactions link table generated on Tue Apr 16, 2019
#
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
NANE-RXN	EC-5.1.3.9
RXN-15984	EC-4.4.1.32
1.14.11.2-RXN	EC-1.14.11.2
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
ISOCIT-CLEAV-RXN	EC-4.1.3.1
1.3.7.5-RXN	EC-1.3.7.5
RXN-15986	EC-5.2.1
RXN-15490	
PEPCARBOXYKIN-RXN	EC-4.1.1.49
PEPCARBOX-RXN	EC-4.1.1.31
4.1.1.38-RXN	EC-4.1.1.38
4.1.1.32-RXN	EC-4.1.1.32
TRANS-RXN490-3594	
RXN-12481	EC-4.1.1.32
TRANS-RXN490-3564	
OXALODECARB-RXN	EC-1.1.1.38	EC-4.1.1.3
TRANS-RXN490-3525	
AICARSYN-RXN	EC-4.3.2.2
AMPSYN-RXN	EC-4.3.2.2
RXN-22	EC-4.3.2.1
RXN-15378	EC-1.3.5.1
RXN-14971	EC-1.3.5.1
RXN0-5245	
RXN-9929	EC-1.3.98.1
1.1.1.39-RXN	EC-1.1.1.38	EC-1.1.1.39
MALIC-NADP-RXN	EC-1.1.1.40
RXN-15468	
MALATE-DEH-RXN	EC-1.1.1.37
RXN-12647	
FUMHYDR-RXN	EC-4.2.1.2
RXN-15815	
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN-15953	
RXN-13482	EC-2.1.3.3
RXN-7101	
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.2
ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	EC-2.6.1.13
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
SPONTPRO-RXN	
RXN0-5514	EC-2.3.1.51
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.39
RXN-15479	EC-1.97.1.12
ACP-S-ACETYLTRANSFER-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.38
THIOREDOXIN-RXN	
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
RXN-14381	
RXN0-1133	EC-2.3.1.12
RXN-9311	EC-3.1.2.28
CITSYN-RXN	EC-2.3.3.16	EC-2.3.3.1
MALSYN-RXN	EC-2.3.3.9
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
2.3.1.157-RXN	EC-2.3.1.157
RXN490-3623	
HOMOCITRATE-SYNTHASE-RXN	EC-2.3.3.14
RXN-14389	
2.3.1.180-RXN	EC-2.3.1.180
RXN-14384	EC-2.8.1.7
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN490-3619	
RXN0-1147	EC-2.3.1.61
RXN-14386	EC-2.8.1.7
RXN-1623	EC-2.3.1.51
RXN490-3621	
RXN-9632	EC-2.3.1.41
RXN-14388	
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
2OXOGLUTARATEDEH-RXN	
PYRUVDEH-RXN	EC-1.2.1
O-SUCCINYLBENZOATE-COA-LIG-RXN	EC-6.2.1.26
ACYLCOASYN-RXN	EC-6.2.1.3
RXN-7904	EC-6.2.1.3
PYRUFLAVREDUCT-RXN	EC-1.2.7.1
RXN66-483	EC-6.2.1.3
RXN66-477	EC-6.2.1.3
RXN66-469	EC-6.2.1.3
4.2.99.18-RXN	EC-4.2.99.18
LINOLENOYL-RXN	EC-6.2.1.3
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
RXN66-474	EC-6.2.1
RXN-12978	EC-6.2.1.3
RXN-16389	EC-6.2.1.3
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EC-5.4.99.12
HOMSUCTRAN-RXN	EC-2.3.1.46
PEPTIDYLTRANSFERASE-RXN	EC-2.3.2.12
RXN0-6484	EC-3.1.13.5
ADENOSYLHOMOCYSTEINASE-RXN	EC-3.3.1.1
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
RXN-10851	
RXN-9	EC-2.1.3
HOMOSERKIN-RXN	EC-2.7.1.39
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
RXN-12610	EC-2.5.1.3
RXN-12611	EC-2.5.1.3
RXN-9023	EC-2.4.1.25
THIAZOLSYN2-RXN	EC-2.8.1.10
TRANS-RXN0-181	
THIAZOLSYN3-RXN	EC-2.7.1.50
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
THI-P-SYN-RXN	EC-2.5.1.3
RXN-7669	EC-2.4.1.18
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
RXN-12193	EC-2.4.1.25
RXN-12391	EC-2.4.1.25
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
GLUCONOLACT-RXN	EC-3.1.1.17
RXN-11833	EC-5.4.99.19
GLUCOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.47
RXN0-5021	EC-2.7.7
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1.67
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
RXN-8340	EC-4.1.99.18
5.1.3.9-RXN	EC-5.1.3.9
RXN-8342	EC-2.8.1.12
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN-14728	EC-3.5.1.4
RXN-11837	EC-5.4.99.23
RXN-11483	EC-3.1.1.85
RXN-14354	EC-2.4.1.25
RXN-10767	EC-3.1.1.1
5.99.1.2-RXN	EC-5.99.1.2
RXN-10711	EC-3.1.1.1
RXN-12587	EC-2.8.1.7
RXN-14189	EC-1.11.1.6
RXN0-6483	EC-3.1.13.5
RXN66-1	EC-1.11.1.6
RXN-1641	EC-2.3.1.158
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
RXN-14382	
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
RXN-10009	EC-2.5.1.105
RXN-15734	EC-2.5.1.105
RXN-15733	EC-2.7.6.3
RXN-8344	EC-2.7.7.75
RXN-7908	EC-4.2.1.96
4.2.3.12-RXN	EC-4.2.3.12
RXN-7919	EC-3.1.2.6
RXN-14753	
RXN-15348	
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
GSHTRAN-RXN	EC-2.5.1.18
RXN-15124	
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
PRODISULFREDUCT-A-RXN	EC-1.8.4
1.11.1.12-RXN	EC-1.11.1.12
1.1.1.220-RXN	EC-1.1.1.220
RXN-9788	EC-2.8.1
MERCAPYSTRANS-RXN	EC-2.8.1.2
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
RXN0-6359	EC-2.8.1.1
RXN490-3608	
DGDPKIN-RXN	EC-2.7.4.6
RXN-8853	EC-1.1.1.153
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
RXN-13673	EC-2.5.1.18
ADENYL-KIN-RXN	EC-2.7.4.3
RXN-13030	EC-1.1.1.325
GMKALT-RXN	EC-2.7.4.13	EC-2.7.4.12
RXN-2962	EC-1.1.1.284
2.7.11.19-RXN	EC-2.7.11.19
RXN-2961	EC-4.4.1.22
NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
GLYOXII-RXN	EC-3.1.2.6
RXN-14228	EC-2.7.4.6
R229-RXN	EC-3.1.3.71
RXN-15005	EC-2.7.2.8
RXN-8748	EC-3.1.3.1
DEOXYADENYLATE-KINASE-RXN	EC-2.7.4.13	EC-2.7.4.11
RXN-8348	EC-2.10.1.1
RXN-14391	EC-3.6.4
RXN490-3624	
RXN0-262	EC-2.7.7.77
RXN490-3620	
H2PTEROATESYNTH-RXN	EC-2.5.1.15
RXN490-3618	
RXN0-2361	EC-6.3.2.45
RXN490-3622	
RXN-15635	EC-2.1.2.11
GDPKIN-RXN	EC-2.7.4.6
TRANS-RXN490-3596	
GUANYL-KIN-RXN	EC-2.7.4.8
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
RXN-14120	EC-2.7.4.6
3.4.13.22-RXN	EC-3.4.13.22
DADPKIN-RXN	EC-2.7.4.6
DALADALALIG-RXN	EC-6.3.2.4
GTPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-6601	EC-2.3.2.2
GDPPYPHOSKIN-RXN	EC-2.7.6.5
MALTODEG-RXN	
RXN-13163	EC-4.2.1.33
RXN0-5146	EC-3.2.1
THYMIDYLATESYN-RXN	EC-2.1.1.45
RXN0-5182	EC-2.4.1.1
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
AMYLOMALT-RXN	EC-2.4.1.25
UDPKIN-RXN	EC-2.7.4.6
RXN0-5225	EC-3.5.1.28
CDPKIN-RXN	EC-2.7.4.6
RXN0-5227	EC-3.4.17.13
ACETATEKIN-RXN	EC-2.7.2.1
RXN-14261	EC-2.4.1.25
DCDPKIN-RXN	EC-2.7.4.6
RXN-14260	EC-2.4.1.25
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
DUDPKIN-RXN	EC-2.7.4.6
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
DTDPKIN-RXN	EC-2.7.4.6
4.2.3.26-RXN	EC-4.2.3.26
DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
GLYCDEH-RXN	EC-1.1.1.6
PYRIMSYN3-RXN	EC-2.7.4.7
RETINYL-PALMITATE-ESTERASE-RXN	EC-3.1.1.1
RXN-15121	
3.1.1.64-RXN	EC-3.1.1.1
RXN-13281	EC-4.1.99
RXN-8632	
RXN-1025	EC-4.1.99.5
RXN0-2621	EC-3.1.25
MOXXANAU-RXN	EC-1.1.99
RXN66-480	EC-6.2.1.3
UDPGLUCEPIM-RXN	EC-5.1.3.2
RXN-15680	EC-2.5.1.18
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
RXN-8635	EC-1.11.1.7
GALPMUT-RXN	EC-5.4.99.9
RXN-10949	EC-3.1.3.25
RXN-12872	
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
RXN-13463	
RXN-9031	EC-5.3.3.17
RXN-13459	
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
GLYCOLATEDEHYDRO-RXN	EC-1.1.99.14
RXN-14930	EC-2.6.1.105
RXN-15915	
PYRIDOXAL-4-DEHYDROGENASE-RXN	EC-1.1.1.107
UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
UDPGLCNACEPIM-RXN	EC-5.1.3.14
PDXJ-RXN	EC-2.6.99.2
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	EC-5.1.3.7
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
RXN-12870	
RXN-7253	EC-3.1.3.25
5.3.1.23-RXN	EC-5.3.1.23
PNPOXI-RXN	EC-1.4.3.5
GLYCOGENSYN-RXN	EC-2.4.1.21
RXN0-5240	
RXN-14378	EC-2.4.1.242
RXN-10954	EC-3.1.3.25
RXN-11147	
RXN-10952	EC-3.1.3.25
RXN-7282	
FRUCTOKINASE-RXN	EC-2.7.1.4
RXN-10953	EC-3.1.3.25
RXN0-5408	EC-3.1.3.25
RXN-9644	EC-6.2.1.3
2.4.1.83-RXN	EC-2.4.1.83
RXN-15043	EC-2.3.1.51
FCLEPIM-RXN	EC-5
RXN-15044	EC-2.3.1.42
RXN1G-460	EC-2.3.1.41
SEDOBISALDOL-RXN	EC-4.1.2
1.14.19.1-RXN	EC-1.14.19.1
RXN-9310	EC-4.2.99.20
RXN-16380	EC-6.2.1.3
RXN-16424	
RXN-9987	EC-3.2.1.183
RXN-16804	
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
DARAB5PISOM-RXN	EC-5.3.1.13
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RIB5PISOM-RXN	EC-5.3.1.6
RXN-9673	EC-6.2.1.3
RIBULP3EPIM-RXN	EC-5.1.3.1
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
D-PPENTOMUT-RXN	EC-5.4.2.7
RXN-9623	EC-6.2.1.3
TRANS-RXN490-3588	
RXN0-5226	EC-3.2.1.52
IPPISOM-RXN	EC-5.3.3.2
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
ARGDECARBOX-RXN	EC-4.1.1.19
TRANS-RXN490-3495	
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
ARG-OXIDATION-RXN	EC-1.4.3.2
DIHYDROOROTATE-DEHYDROGENASE-RXN	EC-1.3.5.2
ARGINASE-RXN	EC-3.5.3.1
RXN-17066	
ARGSUCCINLYA-RXN	EC-4.3.2.1
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
RXN-11667	EC-4.2.1.150
RXN-11662	EC-1.1.1.35
PHOSMANMUT-RXN	EC-5.4.2.8
THRESYN-RXN	EC-4.2.3.1
5.4.2.10-RXN	EC-5.4.2.10
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
RXN0-7139	
RXN-15122	
GSAAMINOTRANS-RXN	EC-5.4.3.8
RXN-13616	EC-4.2.1.17
RXN-10639	
RXN-12490	EC-1.1.1.35
RXN-16909	
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
TRANS-RXN-151	
RXN-13290	EC-6.2.1.3
COENZYME-F420-HYDROGENASE-RXN	EC-1.12.98.1
HISTALDEHYD-RXN	
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN-8001	EC-1.1.1.23
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
RXN-16136	EC-1.1.1
5.99.1.3-RXN	EC-5.99.1.3
RXN-16135	EC-4.2.1.17
FORMATETHFLIG-RXN	EC-6.3.4.3
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
ASPARTATEKIN-RXN	EC-2.7.2.4
RXN-14390	
SAICARSYN-RXN	EC-6.3.2.6
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN-9025	EC-2.4.1.1
RXN-10	EC-6.3.4.5
RXN-9590	
QUINOLINATE-SYNTHE-MULTI-RXN	
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
RXN0-6481	EC-2.7.7.56
RXN-9772	EC-1.5.99
RXN0-6482	EC-2.7.7.56
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
2.7.7.8-RXN	EC-2.7.7.8
RXN490-3616	EC-6.1.1
TRANS-RXN0-470	
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
RXN-969	EC-1.1.3.15
RXN-16165	EC-6.1.1.10
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
RXN-15650	EC-2.6.1
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
HOMOCYSMET-RXN	EC-2.1.1.14
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
HOMOCYSMETB12-RXN	EC-2.1.1.13
UPPSYN-RXN	EC-2.5.1
3.4.11.18-RXN	EC-3.4.11.18
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
RXN0-2201	
RXN-13268	EC-6.2.1.20
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
ACYLACPSYNTH-RXN	EC-6.2.1.20
RXN0-2161	EC-6.1.1.11
RXN0-6274	EC-2.5.1.75
LCYSDESULF-RXN	EC-4.4.1.1	EC-4.4.1.28
GUANYLCYC-RXN	EC-4.6.1.2
