#
#  synelcyc 23.0 Pathways link table generated on Tue Apr 16, 2019
#
GLUTAMINDEG-PWY	L-glutamine degradation I	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY-1001	cellulose biosynthesis	
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
PWY-6348	phosphate acquisition	
PWY-7344	UDP-D-galactose biosynthesis	
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)	thiamine diphosphate biosynthesis	vitamin B<sub>1</sub> biosynthesis
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-6629	superpathway of L-tryptophan biosynthesis	
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	L-homocysteine degradation
ARGSPECAT-PWY	spermine biosynthesis	
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	HMP-PP biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
PWY0-1021	L-alanine biosynthesis III	
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
COA-PWY	coenzyme A biosynthesis I	CoA biosynthesis
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	
PWY-3461	L-tyrosine biosynthesis II	pretyrosine pathway
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY-7205	CMP phosphorylation	
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
PWY1-2	L-alanine degradation IV	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
GLYSYN-PWY	glycine biosynthesis I	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
CITRULLINE-DEG-PWY	L-citrulline degradation	
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	<i>N</i><sup>10</sup>-formyl-THF biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
