#
#  synelcyc 22.5 Pathways link table generated on Tue Sep 11, 2018
#
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	methylthioadenosine degradation II
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
PWY-5663	tetrahydrobiopterin biosynthesis I	
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	<i>N</i><sup>10</sup>-formyl-THF biosynthesis
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
PWY-5739	GDP-D-perosamine biosynthesis	GDP-&alpha;-D-perosamine biosynthesis
PWY-6698	oxalate degradation V	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
CHLOROPHYLL-SYN	chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	light-dependent aerobic chlorophyllide <i>a</i> biosynthesis I
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	ED pathway
PWY-5027	phylloquinol biosynthesis	vitamin K<sub>1</sub> biosynthesis	phylloquinone biosynthesis
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-7159	chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	light-independent aerobic chlorophyllide <i>a</i> biosynthesis
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
LCYSDEG-PWY	L-cysteine degradation II	L-cysteine catabolism	L-cysteine degradation
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
FAO-PWY	fatty acid &beta;-oxidation I	
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	HMP-PP biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis	GGPP biosynthesis
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	
PWY0-1313	acetate conversion to acetyl-CoA	
THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I	superpathway of thiamin diphosphate biosynthesis (E .coli)	superpathway of vitamin B<sub>1</sub> biosynthesis (E .coli)
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY0-1261	anhydromuropeptides recycling	1,6-anhydro-<i>N</i>-acetylmuramic acid recycling	cell wall recycling
VALSYN-PWY	L-valine biosynthesis	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	
PWY-6823	molybdenum cofactor biosynthesis	moco biosynthesis	molybdopterin biosynthesis
GLYCEROLMETAB-PWY	glycerol degradation V	
LEUSYN-PWY	L-leucine biosynthesis	
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
PWY-5350	thiosulfate disproportionation III (rhodanese)	
TRPSYN-PWY	L-tryptophan biosynthesis	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
P641-PWY	phenylmercury acetate degradation	
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	
PWY-6892	thiazole biosynthesis I (E. coli)	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
GLYSYN-PWY	glycine biosynthesis I	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
PROSYN-PWY	L-proline biosynthesis I	
SERSYN-PWY	L-serine biosynthesis	
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	
PWY-2201	folate transformations I	
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	
PWY-7343	UDP-glucose biosynthesis	UDP-D-glucose biosynthesis	UDP-&alpha;-D-glucose biosynthesis
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	
PWY-7344	UDP-D-galactose biosynthesis	
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
GLUCONEO-PWY	gluconeogenesis I	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
TRNA-CHARGING-PWY	tRNA charging	
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
GLUTORN-PWY	L-ornithine biosynthesis	
PWY-5941	glycogen degradation II	glycogenolysis II
HISTSYN-PWY	L-histidine biosynthesis	
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	
PWY490-14	SphS sensory histidine kinase	
PWY-6475	<i>trans</i>-lycopene biosynthesis II (plants)	
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	purine biosynthesis 2
PWY490-11	NblS sensory histidine kinase	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
DENOVOPURINE2-PWY	superpathway of purine nucleotides <i>de novo</i> biosynthesis II	
PWY490-12	circadian clock oscillator KaiABC	
PWY0-1021	L-alanine biosynthesis III	
PWY-7560	methylerythritol phosphate pathway II	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	
PWY490-13	SasA sensory histidine kinase	
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
PWY-6164	3-dehydroquinate biosynthesis I	
PWY-5453	methylglyoxal degradation III	
PPGPPMET-PWY	ppGpp biosynthesis	guanosine 3'-diphosphate 5'-diphosphate biosynthesis
PYRIDNUCSAL-PWY	NAD salvage pathway I	pyridine nucleotide cycling	PNC VI pathway	nicotinamide adenine dinucleotide salvage
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
PWY-7761	NAD salvage pathway II	PNC IV cycle
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	
PWY3O-4106	NAD salvage pathway III	nicotinamide riboside salvage pathway	nicotinamide adenine dinucleotide salvage
CITRULLINE-DEG-PWY	L-citrulline degradation	
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	
PWY-6519	8-amino-7-oxononanoate biosynthesis I	7-keto-8-aminopelargonate biosynthesis I
PWY-6959	L-ascorbate degradation V	
MANNCAT-PWY	D-mannose degradation	mannose degradation
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY-6622	heptadecane biosynthesis	alkane biosynthesis
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	vitamin H biosynthesis
PWY-7208	superpathway of pyrimidine nucleobases salvage	
PWY-7032	alkane biosynthesis I	
PWY-6415	L-ascorbate biosynthesis V	L-ascorbic acid biosynthesis V	vitamin c biosynthesis
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	aerobic adenosylcobalamin biosynthesis	vitamin B12 biosynthesis
PWY-7205	CMP phosphorylation	
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-5086	chlorophyll <i>a</i> biosynthesis I	
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)	thiamine diphosphate biosynthesis	vitamin B<sub>1</sub> biosynthesis
PWY-5064	chlorophyll <i>a</i> biosynthesis II	
PWY-7224	purine deoxyribonucleosides salvage	
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
PWY-5194	siroheme biosynthesis	
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
PWY-4081	glutathione-peroxide redox reactions	
THIOREDOX-PWY	thioredoxin pathway	
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
GLUTATHIONESYN-PWY	glutathione biosynthesis	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
COA-PWY	coenzyme A biosynthesis I	CoA biosynthesis
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-5686	UMP biosynthesis	uridine-5'-phosphate biosynthesis	<i>de novo</i> biosynthesis of uridine-5'-phosphate	<i>de novo</i> biosynthesis of uridine-5'-monophosphate
CALVIN-PWY	Calvin-Benson-Bassham cycle	photosynthetic dark reactions	photosynthetic CO<SUB>2</SUB> fixation	reductive pentose phosphate pathway	Calvin cycle	photosynthesis - dark reaction	carbon fixation	Calvin-Benson cycle
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
PWY-5917	phycocyanobilin biosynthesis	
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-5344	L-homocysteine biosynthesis	
PWY-7411	superpathway of phosphatidate biosynthesis (yeast)	
PWY-7686	L-malate degradation II	(<i>S</i>)--malate degradation I
HOMOSERSYN-PWY	L-homoserine biosynthesis	
