SYNPCC7942_2569-MONOMER	SYNPCC7942_2569	Q31K20	orotidine 5'-phosphate decarboxylase	PyrF
SYNPCC7942_1821-MONOMER	SYNPCC7942_1821	Q8GJL3	conserved hypothetical protein	
SYNPCC7942_2545-MONOMER	SYNPCC7942_2545	Q31K44	aspartate aminotransferase	AspC
SYNPCC7942_1820-MONOMER	SYNPCC7942_1820	Q31M69	conserved hypothetical protein	
SYNPCC7942_2544-MONOMER	SYNPCC7942_2544	Q31K45	conserved hypothetical protein	
SYNPCC7942_1819-MONOMER	SYNPCC7942_1819	Q8GJL0	conserved hypothetical protein	
SYNPCC7942_2543-MONOMER	SYNPCC7942_2543	Q31K46	phage SPO1 DNA polymerase-related protein	
SYNPCC7942_1818-MONOMER	SYNPCC7942_1818	Q31M71	conserved hypothetical protein	
SYNPCC7942_2542-MONOMER	SYNPCC7942_2542	Q31K47	putative cytochrome C6-2	
SYNPCC7942_1817-MONOMER	SYNPCC7942_1817	Q31M72	response regulator receiver domain protein (CheY-like)	LtnA
SYNPCC7942_2541-MONOMER	SYNPCC7942_2541	Q31K48	50S ribosomal subunit protein L19	RplS
SYNPCC7942_1816-MONOMER	SYNPCC7942_1816	Q31M73	periplasmic sensor hybrid histidine kinase	LtnB
SYNPCC7942_2540-MONOMER	SYNPCC7942_2540	Q31K49	blue-copper-protein-like protein	
SYNPCC7942_1815-MONOMER	SYNPCC7942_1815	Q31M74	response regulator receiver domain protein (CheY-like)	
SYNPCC7942_2539-MONOMER	SYNPCC7942_2539	Q31K50	conserved hypothetical protein	
SYNPCC7942_1814-MONOMER	SYNPCC7942_1814	Q31M75	cyclic nucleotide-binding domain (cNMP-BD) protein	
SYNPCC7942_2538-MONOMER	SYNPCC7942_2538	Q9L4P4	ClpR	
SYNPCC7942_1813-MONOMER	SYNPCC7942_1813	Q79N42	HtpG	
SYNPCC7942_2537-MONOMER	SYNPCC7942_2537	Q9L4P3	ClpP3	
SYNPCC7942_1812-MONOMER	SYNPCC7942_1812	Q8GJK4	hypothetical protein	
SYNPCC7942_2536-MONOMER	SYNPCC7942_2536	Q31K53	Heat shock protein DnaJ-like	
SYNPCC7942_1811-MONOMER	SYNPCC7942_1811	Q31M78	diguanylate cyclase (GGDEF domain) with PAS/PAC sensor	
SYNPCC7942_2535-MONOMER	SYNPCC7942_2535	Q31K54	diguanylate cyclase (GGDEF domain) with PAS/PAC and GAF sensors	
SYNPCC7942_1810-MONOMER	SYNPCC7942_1810	Q31M79	flavoprotein	
SYNPCC7942_2534-MONOMER	SYNPCC7942_2534	Q31K55	diguanylate cyclase (GGDEF domain)	
SYNPCC7942_1809-MONOMER	SYNPCC7942_1809	Q31M80	flavoprotein	
SYNPCC7942_2533-MONOMER	SYNPCC7942_2533	Q31K56	conserved hypothetical protein	
SYNPCC7942_1808-MONOMER	SYNPCC7942_1808	Q31M81	Type III pantothenate kinase	CoaX
SYNPCC7942_2532-MONOMER	SYNPCC7942_2532	Q31K57	conserved hypothetical protein	
SYNPCC7942_1807-MONOMER	SYNPCC7942_1807	Q31M82	mutator MutT-like	
SYNPCC7942_2531-MONOMER	SYNPCC7942_2531	Q31K58	translation elongation factor Ts	Tsf
SYNPCC7942_1806-MONOMER	SYNPCC7942_1806	Q31M83	peroxiredoxin PrxQ-A2	
SYNPCC7942_2530-MONOMER	SYNPCC7942_2530	Q31K59	30S ribosomal subunit protein S2	RpsB
SYNPCC7942_1805-MONOMER	SYNPCC7942_1805	Q31M84	HetI protein-like	HetI
SYNPCC7942_2529-MONOMER	SYNPCC7942_2529	Q31K60	hypothetical protein	
SYNPCC7942_1804-MONOMER	SYNPCC7942_1804	Q31M85	conserved hypothetical protein	
SYNPCC7942_2528-MONOMER	SYNPCC7942_2528	Q31K61	hypothetical protein	
SYNPCC7942_1803-MONOMER	SYNPCC7942_1803	Q31M86	putative ferric uptake regulator, FUR family	
SYNPCC7942_2527-MONOMER	SYNPCC7942_2527	Q31K62	esterase-like	
SYNPCC7942_1802-MONOMER	SYNPCC7942_1802	Q31M87	response regulator receiver domain protein (CheY-like)	
SYNPCC7942_2526-MONOMER	SYNPCC7942_2526	O34126	ClpX	
SYNPCC7942_1801-MONOMER	SYNPCC7942_1801	Q31M88	conserved hypothetical protein	
SYNPCC7942_2525-MONOMER	SYNPCC7942_2525	O34125	ClpP2	
SYNPCC7942_1800-MONOMER	SYNPCC7942_1800	Q31M89	conserved hypothetical protein	
SYNPCC7942_2524-MONOMER	SYNPCC7942_2524	Q935Z3	Trigger factor	Tig
SYNPCC7942_1799-MONOMER	SYNPCC7942_1799	Q31M90	Hydrogenase expression/formation protein HypE	HypE
SYNPCC7942_2523-MONOMER	SYNPCC7942_2523	Q31K66	hypothetical protein	
SYNPCC7942_1798-MONOMER	SYNPCC7942_1798	Q31M91	conserved hypothetical protein	
SYNPCC7942_2522-MONOMER	SYNPCC7942_2522	Q935Z2	Glycerol-3-phosphate dehydrogenase (NAD(P)+)	GpsA
SYNPCC7942_1797-MONOMER	SYNPCC7942_1797	Q31M92	conserved hypothetical protein	
SYNPCC7942_2521-MONOMER	SYNPCC7942_2521	Q935Z1	Nucleotide binding protein, PINc	
SYNPCC7942_1796-MONOMER	SYNPCC7942_1796	Q31M93	conserved hypothetical protein	
SYNPCC7942_2520-MONOMER	SYNPCC7942_2520	Q31K69	conserved hypothetical protein	
SYNPCC7942_1795-MONOMER	SYNPCC7942_1795	Q31M94	SsrA-binding protein	SmpB
SYNPCC7942_2519-MONOMER	SYNPCC7942_2519	Q31K70	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	
SYNPCC7942_1794-MONOMER	SYNPCC7942_1794	Q31M95	transaminase	
SYNPCC7942_2518-MONOMER	SYNPCC7942_2518	Q935Y7	Glycogen/starch synthases, ADP-glucose type	GlgA
SYNPCC7942_1793-MONOMER	SYNPCC7942_1793	Q31M96	thioredoxin	
SYNPCC7942_2517-MONOMER	SYNPCC7942_2517	Q31K72	conserved hypothetical protein	
SYNPCC7942_1792-MONOMER	SYNPCC7942_1792	P43087		HemB
SYNPCC7942_2516-MONOMER	SYNPCC7942_2516	Q31K73	hypothetical protein	
SYNPCC7942_1791-MONOMER	SYNPCC7942_1791	Q31M98	conserved hypothetical protein	
SYNPCC7942_2515-MONOMER	SYNPCC7942_2515	Q31K74	putative DNA helicase	
SYNPCC7942_1790-MONOMER	SYNPCC7942_1790	Q31M99	DNA adenine methylase	Dam
SYNPCC7942_2514-MONOMER	SYNPCC7942_2514	Q935Y4	ornithine carbamoyltransferase	ArgF
SYNPCC7942_1789-MONOMER	SYNPCC7942_1789	Q31MA0	heat shock protein DnaJ-2	
SYNPCC7942_2513-MONOMER	SYNPCC7942_2513	Q31K76	Photosystem I assembly BtpA	BtpA
SYNPCC7942_1788-MONOMER	SYNPCC7942_1788	Q31MA1	conserved hypothetical protein	
SYNPCC7942_2512-MONOMER	SYNPCC7942_2512	Q935Y2	Protein of unknown function UPF0004	
SYNPCC7942_1787-MONOMER	SYNPCC7942_1787	Q31MA2	iron-sulfur cluster assembly protein	
SYNPCC7942_2511-MONOMER	SYNPCC7942_2511	Q935Y1	conserved hypothetical protein	
SYNPCC7942_1786-MONOMER	SYNPCC7942_1786	Q31MA3	conserved hypothetical protein YCF51	
SYNPCC7942_2510-MONOMER	SYNPCC7942_2510	Q935Y0	translation initiation factor IF-1	InfA
SYNPCC7942_1785-MONOMER	SYNPCC7942_1785	Q31MA4	conserved hypothetical protein	
SYNPCC7942_2509-MONOMER	SYNPCC7942_2509	Q31K80	HAD-superfamily IA hydrolase, REG-2-like	
SYNPCC7942_1784-MONOMER	SYNPCC7942_1784	Q31MA5	group3 RNA polymerase sigma factor SigF	SigF
SYNPCC7942_2508-MONOMER	SYNPCC7942_2508	Q935X8	type 2 NADH dehydrogenase NdbB monomer	NdbB
SYNPCC7942_1783-MONOMER	SYNPCC7942_1783	Q31MA6	conserved hypothetical protein	
SYNPCC7942_2507-MONOMER	SYNPCC7942_2507	Q31K82	conserved hypothetical protein	
SYNPCC7942_1782-MONOMER	SYNPCC7942_1782	Q31MA7	threonine synthase	
SYNPCC7942_2506-MONOMER	SYNPCC7942_2506	Q55309	phosphoadenosine phosphosulfate reductase	CysH, Phosphoadenosine phosphosulfate reductase, thioredoxin
SYNPCC7942_1781-MONOMER	SYNPCC7942_1781	Q31MA8	conserved hypothetical protein	
SYNPCC7942_2505-MONOMER	SYNPCC7942_2505	Q935X6	Caffeoyl-CoA O-methyltransferase	CamT
SYNPCC7942_1780-MONOMER	SYNPCC7942_1780	Q31MA9	DNA mismatch repair protein MutL	MutL
SYNPCC7942_2504-MONOMER	SYNPCC7942_2504	Q31K85	conserved hypothetical protein	
SYNPCC7942_1779-MONOMER	SYNPCC7942_1779	Q31MB0	DNA repair protein RecN	RecN
SYNPCC7942_2503-MONOMER	SYNPCC7942_2503	Q935X4	light-dependent protochlorophyllide reductase	Por
SYNPCC7942_1778-MONOMER	SYNPCC7942_1778	Q31MB1	conserved hypothetical protein	
SYNPCC7942_2502-MONOMER	SYNPCC7942_2502	Q31K87	conserved hypothetical protein	
SYNPCC7942_1777-MONOMER	SYNPCC7942_1777	Q31MB2	conserved hypothetical protein	
SYNPCC7942_2501-MONOMER	SYNPCC7942_2501	Q935X2	phospho-2-dehydro-3-deoxyheptonate aldolase	AroF
SYNPCC7942_1776-MONOMER	SYNPCC7942_1776	Q31MB3	hypothetical protein	
SYNPCC7942_2500-MONOMER	SYNPCC7942_2500	Q31K89	conserved hypothetical protein	
SYNPCC7942_1775-MONOMER	SYNPCC7942_1775	Q31MB4	phosphate starvation-induced protein	PhoH
SYNPCC7942_2499-MONOMER	SYNPCC7942_2499	Q54705	Band 7 protein	
SYNPCC7942_1774-MONOMER	SYNPCC7942_1774	Q31MB5	30S ribosomal subunit protein S21	RpsU
SYNPCC7942_2498-MONOMER	SYNPCC7942_2498	Q54704	Band 7 protein	
SYNPCC7942_1773-MONOMER	SYNPCC7942_1773	Q31MB6	hypothetical protein	
SYNPCC7942_1499-MONOMER	SYNPCC7942_1499	P0A3D2	Ferredoxin 1	PetF
SYNPCC7942_2497-MONOMER	SYNPCC7942_2497	P50590	Nucleoside-diphosphate kinase	Ndk
SYNPCC7942_1772-MONOMER	SYNPCC7942_1772	Q31MB7	30S ribosomal subunit protein S16	RpsP
SYNPCC7942_2496-MONOMER	SYNPCC7942_2496	Q935X0	branched-chain amino acid ABC transporter periplasmic amino acid-binding protein	LivJ
SYNPCC7942_1771-MONOMER	SYNPCC7942_1771	Q55311	signal recognition particle protein	Ffh
SYNPCC7942_2495-MONOMER	SYNPCC7942_2495	Q935W9	branched-chain amino acid ABC transporter integral membrane protein	LivH
SYNPCC7942_1770-MONOMER	SYNPCC7942_1770	Q31MB9	conserved hypothetical protein	
SYNPCC7942_2494-MONOMER	SYNPCC7942_2494	Q8GIU1	branched-chain amino acid ABC transporter integral membrane protein	LivM
SYNPCC7942_1769-MONOMER	SYNPCC7942_1769	Q31MC0	conserved hypothetical protein	
SYNPCC7942_2493-MONOMER	SYNPCC7942_2493	Q8GIU0	branched-chain amino acid ABC transporter ATP-binding component	LivG
SYNPCC7942_1768-MONOMER	SYNPCC7942_1768	Q31MC1	conserved hypothetical protein	
SYNPCC7942_2492-MONOMER	SYNPCC7942_2492	Q31K97	branched-chain amino acid ABC transporter ATP-binding component	LivF
SYNPCC7942_1767-MONOMER	SYNPCC7942_1767	Q31MC2	cytochrome d ubiquinol oxidase subunit I	CydA
SYNPCC7942_2491-MONOMER	SYNPCC7942_2491	Q8GIT7	DNA gyrase, B subunit	GyrB
SYNPCC7942_1766-MONOMER	SYNPCC7942_1766	Q31MC3	cytochrome d ubiquinol oxidase, subunit II	CydB
SYNPCC7942_2490-MONOMER	SYNPCC7942_2490	Q8GIT6	tRNA delta(2)-isopentenylpyrophosphate transferase	MiaA
SYNPCC7942_1765-MONOMER	SYNPCC7942_1765	Q31MC4	conserved hypothetical protein	
SYNPCC7942_2489-MONOMER	SYNPCC7942_2489	Q31KA0	conserved hypothetical protein	
SYNPCC7942_1764-MONOMER	SYNPCC7942_1764	Q31MC5	conserved hypothetical protein	
SYNPCC7942_2488-MONOMER	SYNPCC7942_2488	Q31KA1	conserved hypothetical protein	
SYNPCC7942_1763-MONOMER	SYNPCC7942_1763	Q31MC6	inositol monophosphate family protein	
SYNPCC7942_2487-MONOMER	SYNPCC7942_2487	Q8GIT3	conserved hypothetical protein	
SYNPCC7942_1762-MONOMER	SYNPCC7942_1762	Q31MC7	conserved hypothetical protein	
SYNPCC7942_2486-MONOMER	SYNPCC7942_2486	Q8GIT2	conserved hypothetical protein	
SYNPCC7942_1761-MONOMER	SYNPCC7942_1761	Q31MC8	conserved hypothetical protein	
SYNPCC7942_2485-MONOMER	SYNPCC7942_2485	Q8GIT1	hypothetical protein	
SYNPCC7942_1760-MONOMER	SYNPCC7942_1760	Q31MC9		Ald
SYNPCC7942_2484-MONOMER	SYNPCC7942_2484	Q8GIT0	conserved hypothetical protein	
SYNPCC7942_1759-MONOMER	SYNPCC7942_1759	Q31MD0	CAB/ELIP/HLIP-related protein	
SYNPCC7942_2483-MONOMER	SYNPCC7942_2483	Q31KA6	conserved hypothetical protein	
SYNPCC7942_1758-MONOMER	SYNPCC7942_1758	Q31MD1	conserved hypothetical protein	
SYNPCC7942_2482-MONOMER	SYNPCC7942_2482	Q8GIS8	hypothetical protein	
SYNPCC7942_1757-MONOMER	SYNPCC7942_1757	Q31MD2	hypothetical protein	
SYNPCC7942_2481-MONOMER	SYNPCC7942_2481	Q8GIS7	conserved hypothetical protein	
SYNPCC7942_1756-MONOMER	SYNPCC7942_1756	Q31MD3	hypothetical protein	
SYNPCC7942_2480-MONOMER	SYNPCC7942_2480	Q8GIS6		
SYNPCC7942_1755-MONOMER	SYNPCC7942_1755	Q31MD4	conserved hypothetical protein	
SYNPCC7942_2479-MONOMER	SYNPCC7942_2479	Q31KB0	pilin-like protein	
SYNPCC7942_1754-MONOMER	SYNPCC7942_1754	Q31MD5	conserved hypothetical protein	
SYNPCC7942_2478-MONOMER	SYNPCC7942_2478	Q8GIS4	PsbW	photosystem II reaction center W protein
SYNPCC7942_1753-MONOMER	SYNPCC7942_1753	Q31MD6	conserved hypothetical protein	
SYNPCC7942_2477-MONOMER	SYNPCC7942_2477	Q8GIS3	SulA cell division inhibitor	SulA
SYNPCC7942_1752-MONOMER	SYNPCC7942_1752	Q31MD7	Armadillo:PBS lyase HEAT-like repeat	
SYNPCC7942_2476-MONOMER	SYNPCC7942_2476	Q31KB3	conserved hypothetical protein	
SYNPCC7942_1751-MONOMER	SYNPCC7942_1751	Q31MD8	conserved hypothetical protein	
SYNPCC7942_2475-MONOMER	SYNPCC7942_2475	Q8GIS1	argininosuccinate lyase	ArgH
SYNPCC7942_1750-MONOMER	SYNPCC7942_1750	Q31MD9	conserved hypothetical protein YCF35	
SYNPCC7942_2474-MONOMER	SYNPCC7942_2474	Q8GIS0	conserved hypothetical protein	
SYNPCC7942_1749-MONOMER	SYNPCC7942_1749	Q31ME0	4Fe-4S ferredoxin	
SYNPCC7942_2473-MONOMER	SYNPCC7942_2473	Q8GIR9	serine phosphatase	
SYNPCC7942_1748-MONOMER	SYNPCC7942_1748	Q31ME1	conserved hypothetical protein	
SYNPCC7942_2472-MONOMER	SYNPCC7942_2472	Q31KB7	signal recognition particle-docking protein FtsY	FtsY
SYNPCC7942_1747-MONOMER	SYNPCC7942_1747	Q31ME2	conserved hypothetical protein	
SYNPCC7942_2471-MONOMER	SYNPCC7942_2471	Q8GIR7	transcription antitermination factor NusB	NusB
SYNPCC7942_1746-MONOMER	SYNPCC7942_1746	Q31ME3	sigma factor SigB	SigB
SYNPCC7942_2470-MONOMER	SYNPCC7942_2470	Q31KB9	conserved hypothetical protein	
SYNPCC7942_1745-MONOMER	SYNPCC7942_1745	Q31ME4	conserved hypothetical protein	
SYNPCC7942_2469-MONOMER	SYNPCC7942_2469	Q31KC0	conserved hypothetical protein	
SYNPCC7942_1744-MONOMER	SYNPCC7942_1744	Q31ME5	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	
SYNPCC7942_2468-MONOMER	SYNPCC7942_2468	P50021	Heat shock protein Hsp70-2	
SYNPCC7942_1743-MONOMER	SYNPCC7942_1743	Q31ME6	NADH dehydrogenase (ubiquinone)	NdhH
SYNPCC7942_2467-MONOMER	SYNPCC7942_2467	Q31KC2	shikimate 5-dehydrogenase	AroE
SYNPCC7942_1742-MONOMER	SYNPCC7942_1742	Q9R6W2	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase monomer	
SYNPCC7942_2466-MONOMER	SYNPCC7942_2466	Q31KC3	two component transcriptional regulator, winged helix family	
SYNPCC7942_1741-MONOMER	SYNPCC7942_1741	P95836	UDP-N-acetylmuramate--alanine ligase	
SYNPCC7942_2465-MONOMER	SYNPCC7942_2465	Q31KC4	conserved hypothetical protein	
SYNPCC7942_1740-MONOMER	SYNPCC7942_1740	P95837	UDP-N-acetylenolpyruvoylglucosamine reductase	
SYNPCC7942_2464-MONOMER	SYNPCC7942_2464	Q31KC5	N-acylglucosamine-6-phosphate 2-epimerase	NanE
SYNPCC7942_1739-MONOMER	SYNPCC7942_1739	Q31MF0	transcriptional regulator, MerR family	MerR
SYNPCC7942_2463-MONOMER	SYNPCC7942_2463	Q31KC6	S-adenosylmethionine synthetase	MetK
SYNPCC7942_1738-MONOMER	SYNPCC7942_1738	Q31MF1	cysteine desulfurase, SufS subfamily	SufS
SYNPCC7942_2462-MONOMER	SYNPCC7942_2462	Q31KC7	probable sugar kinase	
SYNPCC7942_1737-MONOMER	SYNPCC7942_1737	Q31MF2	FeS assembly protein SufD	SufD
SYNPCC7942_2461-MONOMER	SYNPCC7942_2461	Q31KC8	conserved hypothetical protein	
SYNPCC7942_1736-MONOMER	SYNPCC7942_1736	Q31MF3	FeS assembly ATPase SufC	SufC
SYNPCC7942_2460-MONOMER	SYNPCC7942_2460	Q31KC9	DNA-cytosine methyltransferase	
SYNPCC7942_1735-MONOMER	SYNPCC7942_1735	Q31MF4	Iron-regulated ABC transporter ATPase subunit SufB	SufB
SYNPCC7942_2459-MONOMER	SYNPCC7942_2459	Q31KD0	conserved hypothetical protein	
SYNPCC7942_1734-MONOMER	SYNPCC7942_1734	Q31MF5	ferredoxin-thioredoxin reductase catalytic subunit	FtrC
SYNPCC7942_2458-MONOMER	SYNPCC7942_2458	Q31KD1	ComEC/Rec2-related protein	
CPLX490-3512			allophycocyanin	
SYNPCC7942_1733-MONOMER	SYNPCC7942_1733	Q31MF6	SufR transcriptional regulator	SufR
SYNPCC7942_2457-MONOMER	SYNPCC7942_2457	Q31KD2	glycyl-tRNA synthetase, alpha subunit	GlyQ
SYNPCC7942_1732-MONOMER	SYNPCC7942_1732	Q31MF7	conserved hypothetical protein	
SYNPCC7942_2456-MONOMER	SYNPCC7942_2456	Q31KD3	conserved hypothetical protein	
SYNPCC7942_1731-MONOMER	SYNPCC7942_1731	Q31MF8	conserved hypothetical protein	
SYNPCC7942_2455-MONOMER	SYNPCC7942_2455	Q31KD4	conserved hypothetical protein	
SYNPCC7942_1730-MONOMER	SYNPCC7942_1730	Q31MF9	conserved hypothetical protein	
SYNPCC7942_2454-MONOMER	SYNPCC7942_2454	Q31KD5	adenine phosphoribosyltransferase	Apt
SYNPCC7942_1729-MONOMER	SYNPCC7942_1729	Q31MG0	potassium-transporting ATPase D chain	
SYNPCC7942_2453-MONOMER	SYNPCC7942_2453	Q31KD6	type IV pilus assembly protein PilM	PilM
SYNPCC7942_1728-MONOMER	SYNPCC7942_1728	Q31MG1	conserved hypothetical protein	
SYNPCC7942_2452-MONOMER	SYNPCC7942_2452	Q31KD7	Tfp pilus assembly protein PilN-like	PilN
SYNPCC7942_1727-MONOMER	SYNPCC7942_1727	Q31MG2	BioY protein	BioY
SYNPCC7942_2451-MONOMER	SYNPCC7942_2451	Q31KD8	putative type IV pilus assembly protein PilO	PilO
SYNPCC7942_1726-MONOMER	SYNPCC7942_1726	Q31MG3	lipoprotein signal peptidase	LspA
SYNPCC7942_2450-MONOMER	SYNPCC7942_2450	Q31KD9	general secretion pathway protein D	GspD
SYNPCC7942_1725-MONOMER	SYNPCC7942_1725	Q31MG4	regulatory protein GntR, HTH	GntR
SYNPCC7942_2449-MONOMER	SYNPCC7942_2449	Q31KE0	1-Cys peroxiredoxin	
SYNPCC7942_1724-MONOMER	SYNPCC7942_1724	Q31MG5	conserved hypothetical protein	
SYNPCC7942_2448-MONOMER	SYNPCC7942_2448	Q31KE1	GTP-binding protein HflX	HflX
SYNPCC7942_1723-MONOMER	SYNPCC7942_1723	Q31MG6	carotene isomerase	CrtH
SYNPCC7942_2447-MONOMER	SYNPCC7942_2447	Q31KE2	conserved hypothetical protein	
SYNPCC7942_1722-MONOMER	SYNPCC7942_1722	Q31MG7	Thiosulphate-binding protein	CysP
SYNPCC7942_2446-MONOMER	SYNPCC7942_2446	Q31KE3	methionine aminopeptidase, type I	Map
SYNPCC7942_1721-MONOMER	SYNPCC7942_1721	Q31MG8	PBS lyase HEAT-like repeat	
SYNPCC7942_2445-MONOMER	SYNPCC7942_2445	P39665	SphX phosphate binding protein	SphX
SYNPCC7942_1720-MONOMER	SYNPCC7942_1720	Q31MG9	conserved hypothetical protein	
SYNPCC7942_2444-MONOMER	SYNPCC7942_2444	Q31KE5	Phosphate transport system substrate-binding protein	PstS
SYNPCC7942_1719-MONOMER	SYNPCC7942_1719	Q31MH0	isocitrate dehydrogenase, NADP-dependent	Icd
SYNPCC7942_2443-MONOMER	SYNPCC7942_2443	Q31KE6	Phosphate ABC transporter, permease protein PstC	PstC
SYNPCC7942_1718-MONOMER	SYNPCC7942_1718	Q31MH1	glycolate oxidase subunit GlcE	GlcE
SYNPCC7942_2442-MONOMER	SYNPCC7942_2442	Q31KE7	Phosphate ABC transporter, permease protein 2	PstA
SYNPCC7942_1717-MONOMER	SYNPCC7942_1717	Q31MH2	glycolate oxidase subunit (Fe-S) protein	GlcF
SYNPCC7942_2441-MONOMER	SYNPCC7942_2441	Q31KE8	Phosphate ABC transporter, permease protein PstB	PstB
SYNPCC7942_1716-MONOMER	SYNPCC7942_1716	Q31MH3	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	
SYNPCC7942_2440-MONOMER	SYNPCC7942_2440	Q31KE9	Polyribonucleotide nucleotidyltransferase	Pnp
SYNPCC7942_1715-MONOMER	SYNPCC7942_1715	Q31MH4	uracil phosphoribosyltransferase	Upp
